Class ID,Parents,Preferred Label
http://purl.obolibrary.org/obo/VO_0003085,http://purl.obolibrary.org/obo/VO_0000742,"Adacel-Polio"
http://purl.obolibrary.org/obo/VO_0004087,http://purl.obolibrary.org/obo/VO_0012177,"VSV[Delta]G/LVGPC"
http://purl.obolibrary.org/obo/VO_0000836,http://purl.obolibrary.org/obo/VO_0000648,"Y. pestis YscF subunit vaccine"
http://purl.obolibrary.org/obo/VO_0011513,http://purl.obolibrary.org/obo/VO_0012181,"H. pylori catalase protein vaccine"
http://purl.obolibrary.org/obo/VO_0001578,http://purl.obolibrary.org/obo/VO_0001506,"Parainfluenza 3 Modified Live Virus Vaccine (USDA: 1841.00)"
http://purl.obolibrary.org/obo/VO_0002093,http://purl.obolibrary.org/obo/VO_0002413,"Canine Distemper-Adenovirus Type 2-Parvovirus Modified Live Virus Vaccine (USDA: 1331.30)"
http://purl.obolibrary.org/obo/VO_0000958,http://purl.obolibrary.org/obo/VO_0000727,"Herpes simplex virus type 1 vaccine"
http://purl.obolibrary.org/obo/VO_0000318,http://purl.obolibrary.org/obo/VO_0000435,"pTARGET DNA vaccine plasmid"
http://purl.obolibrary.org/obo/VO_0000053,http://purl.obolibrary.org/obo/VO_0000165,"Neisseria meningitidis vaccine"
http://purl.obolibrary.org/obo/VO_0002237,http://purl.obolibrary.org/obo/VO_0002405,"Canine Distemper-Adenovirus Type 2-Coronavirus-Parvovirus Modified Live & Killed Virus Vaccine-Leptospira Icterohaemorrhagiae Bacterial Extract (USDA: 46P9.27)"
http://purl.obolibrary.org/obo/VO_0001363,http://purl.obolibrary.org/obo/VO_0000639,"Clostridium perfringens vaccine"
http://purl.obolibrary.org/obo/VO_0001003,http://purl.obolibrary.org/obo/VO_0000435,"pCJ-3 DNA vaccine plasmid"
http://purl.obolibrary.org/obo/VO_0003118,http://purl.obolibrary.org/obo/VO_0000731,"M-M-R I"
http://purl.obolibrary.org/obo/VO_0010841,http://purl.obolibrary.org/obo/VO_0010754,"Western equine encephalomyelitis virus protein"
http://purl.obolibrary.org/obo/VO_0010775,http://purl.obolibrary.org/obo/VO_0010752,"Clostridium tetani protein"
http://purl.obolibrary.org/obo/VO_0003005,http://purl.obolibrary.org/obo/VO_0001142,"Leishmania donovani cen1 mutant vaccine"
http://purl.obolibrary.org/obo/VO_0011510,http://purl.obolibrary.org/obo/VO_0000177,"cancer subunit  DC (Tat-CEA) vaccine"
http://purl.obolibrary.org/obo/VO_0001092,http://purl.obolibrary.org/obo/OBI_0000450,"USDA"
http://purl.obolibrary.org/obo/VO_0001369,http://purl.obolibrary.org/obo/VO_0000017,"H2O2-killed vaccine"
http://purl.obolibrary.org/obo/VO_0000955,http://purl.obolibrary.org/obo/OBI_0000070,"host survival to pathogen challenge after vaccination"
http://purl.obolibrary.org/obo/VO_0000319,http://purl.obolibrary.org/obo/VO_0000435,"pTH DNA vaccine plasmid"
http://purl.obolibrary.org/obo/VO_0004086,http://purl.obolibrary.org/obo/VO_0012177,"V-LSGPC"
http://purl.obolibrary.org/obo/VO_0003080,http://purl.obolibrary.org/obo/VO_0000053,"Nimenrix"
http://purl.obolibrary.org/obo/VO_0000835,http://purl.obolibrary.org/obo/VO_0000935,"Epm vaccine"
http://purl.obolibrary.org/obo/VO_0002382,http://purl.obolibrary.org/obo/VO_0000609,"Bursal Disease-Mareks Disease Vaccine"
http://purl.obolibrary.org/obo/UBERON_0000165,http://purl.obolibrary.org/obo/UBERON_0004921,"mouth"
http://purl.obolibrary.org/obo/VO_0000464,http://purl.obolibrary.org/obo/VO_0000000,"protein of pathogen organism as vaccine component"
http://purl.obolibrary.org/obo/VO_0011139,http://purl.obolibrary.org/obo/VO_0010782,"HA from Influenza A virus (A/chicken/Guangdong/02/2007(H9N2))"
http://purl.obolibrary.org/obo/VO_0001775,http://purl.obolibrary.org/obo/VO_0000460,"Equine Influenza Live Canarypox Vector Vaccine (USDA: 1501.R0)"
http://purl.obolibrary.org/obo/VO_0004351,http://purl.obolibrary.org/obo/VO_0000295,"HIV DNA vaccine VlJns-tPA-gp120"
http://purl.obolibrary.org/obo/VO_0000477,http://purl.obolibrary.org/obo/VO_0000650,"human Rabies vaccine"
http://purl.obolibrary.org/obo/VO_0012401,http://purl.obolibrary.org/obo/VO_0012358,"Tp92"
http://purl.obolibrary.org/obo/VO_0003001,http://purl.obolibrary.org/obo/VO_0012188,"WEEV Subunit E2 Protein Vaccine"
http://purl.obolibrary.org/obo/VO_0011368,http://purl.obolibrary.org/obo/VO_0000177,"cancer DNA vaccine encoding H-2Kb"
http://purl.obolibrary.org/obo/VO_0002952,http://purl.obolibrary.org/obo/VO_0001012,"Classical swine fever virus E(rns) mutant vaccine"
http://purl.obolibrary.org/obo/VO_0010772,http://purl.obolibrary.org/obo/VO_0010753,"Haemophilus influenzae protein"
