source,target,relation
http://purl.obolibrary.org/obo/VO_0000544,http://purl.obolibrary.org/obo/VO_0000544,part of
http://purl.obolibrary.org/obo/VO_0010744,http://purl.obolibrary.org/obo/NCBITaxon_9606,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0001584,http://purl.obolibrary.org/obo/VO_0000211,has quality
http://purl.obolibrary.org/obo/VO_0004020,http://purl.obolibrary.org/obo/NCBITaxon_11309,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0002240,http://purl.obolibrary.org/obo/VO_0000173,has quality
http://purl.obolibrary.org/obo/VO_0000673,http://purl.obolibrary.org/obo/NCBITaxon_10141,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0000386,http://purl.obolibrary.org/obo/NCBITaxon_10090,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0002250,http://purl.obolibrary.org/obo/VO_0000211,has quality
http://purl.obolibrary.org/obo/VO_0002301,http://purl.obolibrary.org/obo/VO_0000211,has quality
http://purl.obolibrary.org/obo/VO_0004047,http://purl.obolibrary.org/obo/VO_0012390,has part
http://purl.obolibrary.org/obo/VO_0001769,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0001826,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0004692,http://purl.obolibrary.org/obo/NCBITaxon_632,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0011246,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0010950,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0001562,http://purl.obolibrary.org/obo/NCBITaxon_9913,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0011038,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0001622,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0001879,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0004076,http://purl.obolibrary.org/obo/NCBITaxon_1491,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0011169,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0002064,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0001790,http://purl.obolibrary.org/obo/NCBITaxon_9823,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0004476,http://purl.obolibrary.org/obo/NCBITaxon_1392,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0001752,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0002038,http://purl.obolibrary.org/obo/VO_0000173,has quality
http://purl.obolibrary.org/obo/VO_0000562,http://purl.obolibrary.org/obo/VO_0000495,realized in
http://purl.obolibrary.org/obo/VO_0001844,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0001765,http://purl.obolibrary.org/obo/NCBITaxon_9612,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0004731,http://purl.obolibrary.org/obo/NCBITaxon_11082,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0010714,http://purl.obolibrary.org/obo/VO_0000927,has part
http://purl.obolibrary.org/obo/VO_0002225,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0002549,http://purl.obolibrary.org/obo/VO_0001361,has role
http://purl.obolibrary.org/obo/VO_0002643,http://purl.obolibrary.org/obo/VO_0001361,has role
http://purl.obolibrary.org/obo/VO_0002279,http://purl.obolibrary.org/obo/VO_0000211,has quality
http://purl.obolibrary.org/obo/VO_0000047,http://purl.obolibrary.org/obo/VO_0000211,has quality
http://purl.obolibrary.org/obo/VO_0011224,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0010719,http://purl.obolibrary.org/obo/CHEBI_16842,has part
http://purl.obolibrary.org/obo/VO_0002284,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0000574,http://purl.obolibrary.org/obo/UBERON_0001062,located in
http://purl.obolibrary.org/obo/VO_0002761,http://purl.obolibrary.org/obo/VO_0001361,has role
http://purl.obolibrary.org/obo/VO_0003081,http://purl.obolibrary.org/obo/VO_0000624,has role
