source,target,relation
http://purl.obolibrary.org/obo/STATO_0000336,http://purl.obolibrary.org/obo/stato.owl#response_variable_explained_by_random_effect_hypothesis,has part
http://purl.obolibrary.org/obo/STATO_0000086,http://purl.obolibrary.org/obo/STATO_0000224,achieves_planned_objective
http://purl.obolibrary.org/obo/STATO_0000130,http://purl.obolibrary.org/obo/STATO_0000229,has_specified_input
http://purl.obolibrary.org/obo/OBI_0400043,http://purl.obolibrary.org/obo/OBI_0000370,has function
http://purl.obolibrary.org/obo/STATO_0000310,http://purl.obolibrary.org/obo/OBI_0000175,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000461,http://purl.obolibrary.org/obo/STATO_0000053,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000304,http://purl.obolibrary.org/obo/STATO_0000193,achieves
http://purl.obolibrary.org/obo/STATO_0000385,http://purl.obolibrary.org/obo/STATO_0000039,estimate of
http://purl.obolibrary.org/obo/STATO_0000302,http://purl.obolibrary.org/obo/STATO_0000176,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000095,http://purl.obolibrary.org/obo/STATO_0000053,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000304,http://purl.obolibrary.org/obo/STATO_0000255,achieves_planned_objective
http://purl.obolibrary.org/obo/STATO_0000112,http://purl.obolibrary.org/obo/STATO_0000006,denotes
http://purl.obolibrary.org/obo/STATO_0000490,http://purl.obolibrary.org/obo/STATO_0000053,has_specified_input
http://purl.obolibrary.org/obo/OBI_0200119,http://purl.obolibrary.org/obo/OBI_0200177,achieves_planned_objective
http://purl.obolibrary.org/obo/STATO_0000277,http://purl.obolibrary.org/obo/STATO_0000085,achieves
http://purl.obolibrary.org/obo/STATO_0000086,http://purl.obolibrary.org/obo/OBI_0000175,has_specified_output
http://purl.obolibrary.org/obo/IAO_0000401,http://purl.obolibrary.org/obo/BFO_0000026,part of
http://purl.obolibrary.org/obo/STATO_0000434,http://purl.obolibrary.org/obo/STATO_0000229,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000337,http://purl.obolibrary.org/obo/STATO_0000107,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000075,http://purl.obolibrary.org/obo/STATO_0000008,denotes
http://purl.obolibrary.org/obo/OBI_0400082,http://purl.obolibrary.org/obo/OBI_0000453,has function
http://purl.obolibrary.org/obo/STATO_0000470,http://purl.obolibrary.org/obo/STATO_0000346,is modeled by
http://purl.obolibrary.org/obo/STATO_0000074,http://purl.obolibrary.org/obo/STATO_0000211,has part
http://purl.obolibrary.org/obo/OBI_0600014,http://purl.obolibrary.org/obo/BFO_0000040,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000302,http://purl.obolibrary.org/obo/STATO_0000255,achieves_planned_objective
http://purl.obolibrary.org/obo/STATO_0000040,http://purl.obolibrary.org/obo/STATO_0000188,denotes
http://purl.obolibrary.org/obo/STATO_0000181,http://purl.obolibrary.org/obo/STATO_0000053,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000095,http://purl.obolibrary.org/obo/STATO_0000176,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000309,http://purl.obolibrary.org/obo/STATO_0000140,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000077,http://purl.obolibrary.org/obo/STATO_0000058,achieves
http://purl.obolibrary.org/obo/STATO_0000484,http://purl.obolibrary.org/obo/STATO_0000485,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000059,http://purl.obolibrary.org/obo/STATO_0000500,is denoted by
http://purl.obolibrary.org/obo/IAO_0000032,http://purl.obolibrary.org/obo/OBI_0001931,has value specification
http://purl.obolibrary.org/obo/OBI_0000164,http://purl.obolibrary.org/obo/OBI_0600064,is_specified_output_of
http://purl.obolibrary.org/obo/STATO_0000187,http://purl.obolibrary.org/obo/STATO_0000061,achieves
http://purl.obolibrary.org/obo/STATO_0000213,http://purl.obolibrary.org/obo/STATO_0000251,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000175,http://purl.obolibrary.org/obo/STATO_0000196,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000239,http://purl.obolibrary.org/obo/STATO_0000279,is_specified_output_of
http://purl.obolibrary.org/obo/STATO_0000328,http://purl.obolibrary.org/obo/IAO_0000100,has_specified_input
http://purl.obolibrary.org/obo/OBI_0500000,http://purl.obolibrary.org/obo/OBI_0000272,has part
http://purl.obolibrary.org/obo/STATO_0000243,http://purl.obolibrary.org/obo/STATO_0000150,achieves
http://purl.obolibrary.org/obo/STATO_0000092,http://purl.obolibrary.org/obo/STATO_0000253,achieves_planned_objective
http://purl.obolibrary.org/obo/OBI_0001143,http://purl.obolibrary.org/obo/CHEBI_33696,has grain
http://purl.obolibrary.org/obo/OBI_0000435,http://purl.obolibrary.org/obo/OBI_0001305,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000286,http://purl.obolibrary.org/obo/STATO_0000294,has part
http://purl.obolibrary.org/obo/STATO_0000233,http://purl.obolibrary.org/obo/OBI_0000673,achieves
http://purl.obolibrary.org/obo/STATO_0000097,http://purl.obolibrary.org/obo/STATO_0000088,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000062,http://purl.obolibrary.org/obo/STATO_0000253,part of
http://purl.obolibrary.org/obo/IAO_0000578,http://purl.obolibrary.org/obo/IAO_0000579,denotes
http://purl.obolibrary.org/obo/STATO_0000432,http://purl.obolibrary.org/obo/STATO_0000426,has_specified_input
http://purl.obolibrary.org/obo/OBI_0001271,http://purl.obolibrary.org/obo/OBI_0001331,achieves_planned_objective
http://purl.obolibrary.org/obo/STATO_0000544,http://purl.obolibrary.org/obo/STATO_0000113,achieves
http://purl.obolibrary.org/obo/OBI_0500003,http://purl.obolibrary.org/obo/IAO_0000584,achieves
http://purl.obolibrary.org/obo/OBI_0400079,http://purl.obolibrary.org/obo/OBI_0000378,has function
http://purl.obolibrary.org/obo/OBI_0600036,http://purl.obolibrary.org/obo/CL_0000000,has_specified_input
http://purl.obolibrary.org/obo/OBI_0200051,http://purl.obolibrary.org/obo/STATO_0000113,achieves
http://purl.obolibrary.org/obo/STATO_0000434,http://purl.obolibrary.org/obo/STATO_0000053,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000256,http://purl.obolibrary.org/obo/STATO_0000063,denotes
http://purl.obolibrary.org/obo/STATO_0000078,http://purl.obolibrary.org/obo/STATO_0000224,achieves_planned_objective
http://purl.obolibrary.org/obo/STATO_0000430,http://purl.obolibrary.org/obo/STATO_0000099,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000091,http://purl.obolibrary.org/obo/STATO_0000027,is_specified_output_of
http://purl.obolibrary.org/obo/STATO_0000107,http://purl.obolibrary.org/obo/OBI_0000751,is model for
http://purl.obolibrary.org/obo/STATO_0000022,http://purl.obolibrary.org/obo/STATO_0000006,has part
http://purl.obolibrary.org/obo/OBI_0000938,http://purl.obolibrary.org/obo/OBI_0001930,has value specification
http://purl.obolibrary.org/obo/OBI_0001225,http://purl.obolibrary.org/obo/OBI_0001305,part of
