source,target,relation
http://purl.obolibrary.org/obo/ODNAE_0000181,http://purl.obolibrary.org/obo/DRON_00027893,has participant
http://purl.obolibrary.org/obo/ODNAE_0000180,http://purl.obolibrary.org/obo/DRON_00025763,has participant
http://purl.obolibrary.org/obo/ODNAE_0000183,http://purl.obolibrary.org/obo/DRON_00024436,has participant
http://purl.obolibrary.org/obo/ODNAE_0000182,http://purl.obolibrary.org/obo/DRON_00023323,has participant
http://purl.obolibrary.org/obo/ODNAE_0000185,http://purl.obolibrary.org/obo/DRON_00023427,has participant
http://purl.obolibrary.org/obo/ODNAE_0000184,http://purl.obolibrary.org/obo/DRON_00024567,has participant
http://purl.obolibrary.org/obo/ODNAE_0000187,http://purl.obolibrary.org/obo/DRON_00024462,has participant
http://purl.obolibrary.org/obo/ODNAE_0000186,http://purl.obolibrary.org/obo/DRON_00026059,has participant
http://purl.obolibrary.org/obo/DRON_00027818,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000147,has participant
http://purl.obolibrary.org/obo/DRON_00027818,http://purl.obolibrary.org/obo/CHEBI_7772,has_proper_part
http://purl.obolibrary.org/obo/DRON_00021014,http://purl.obolibrary.org/obo/CHEBI_3181,has_proper_part
http://purl.obolibrary.org/obo/DRON_00023278,http://purl.obolibrary.org/obo/CHEBI_8774,has_proper_part
http://purl.obolibrary.org/obo/DRON_00023278,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000181,has participant
http://purl.obolibrary.org/obo/ODNAE_0000199,http://purl.obolibrary.org/obo/DRON_00023623,has participant
http://purl.obolibrary.org/obo/ODNAE_0000194,http://purl.obolibrary.org/obo/DRON_00021832,has participant
http://purl.obolibrary.org/obo/ODNAE_0000193,http://purl.obolibrary.org/obo/DRON_00023808,has participant
http://purl.obolibrary.org/obo/ODNAE_0000192,http://purl.obolibrary.org/obo/DRON_00023469,has participant
http://purl.obolibrary.org/obo/ODNAE_0000191,http://purl.obolibrary.org/obo/DRON_00022497,has participant
http://purl.obolibrary.org/obo/DRON_00031159,http://purl.obolibrary.org/obo/DRON_00020282,has_proper_part
http://purl.obolibrary.org/obo/DRON_00031159,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000009948,has participant
http://purl.obolibrary.org/obo/DRON_00021955,http://purl.obolibrary.org/obo/CHEBI_5118,has_proper_part
http://purl.obolibrary.org/obo/ODNAE_0000198,http://purl.obolibrary.org/obo/DRON_00026599,has participant
http://purl.obolibrary.org/obo/ODNAE_0000197,http://purl.obolibrary.org/obo/DRON_00020525,has participant
http://purl.obolibrary.org/obo/ODNAE_0000196,http://purl.obolibrary.org/obo/DRON_00025863,has participant
http://purl.obolibrary.org/obo/ODNAE_0000195,http://purl.obolibrary.org/obo/DRON_00021832,has participant
http://purl.obolibrary.org/obo/DRON_00021951,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000098,has participant
http://purl.obolibrary.org/obo/DRON_00021951,http://purl.obolibrary.org/obo/CHEBI_46345,has_proper_part
http://purl.obolibrary.org/obo/DRON_00027809,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000233,has participant
http://purl.obolibrary.org/obo/DRON_00027809,http://purl.obolibrary.org/obo/DRON_00017540,has_proper_part
http://purl.obolibrary.org/obo/ODNAE_0000190,http://purl.obolibrary.org/obo/DRON_00020621,has participant
http://purl.obolibrary.org/obo/OAE_0000001,http://purl.obolibrary.org/obo/OAE_0000002,preceded by
http://purl.obolibrary.org/obo/DRON_00030815,http://purl.obolibrary.org/obo/DRON_00018842,has_proper_part
http://purl.obolibrary.org/obo/DRON_00020868,http://purl.obolibrary.org/obo/DRON_00013467,has_proper_part
http://purl.obolibrary.org/obo/CL_0000047,http://purl.obolibrary.org/obo/CL_0000133,develops_from
http://purl.obolibrary.org/obo/CL_0000047,http://purl.obolibrary.org/obo/UBERON_0001017,part of
http://purl.obolibrary.org/obo/DRON_00072660,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000233,has participant
http://purl.obolibrary.org/obo/DRON_00025223,http://purl.obolibrary.org/obo/CHEBI_38722,has_proper_part
http://purl.obolibrary.org/obo/DRON_00030017,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000150,has participant
http://purl.obolibrary.org/obo/DRON_00030017,http://purl.obolibrary.org/obo/CHEBI_17076,has_proper_part
http://purl.obolibrary.org/obo/DRON_00022521,http://purl.obolibrary.org/obo/CHEBI_6909,has_proper_part
